corp_name,corp_code,stock_code,ceo_name,industry_code
넥스틸(주),00220613,092790,홍성만,2419
(주)다우기술,00176914,023590,김윤덕,631
(주)LX인터내셔널,00120076,001120,윤춘성,4610
(주)케이에스에스 해운,00160232,044450,박찬도,50112
LG전자(주),00401731,066570,조주완,264
SK디앤디(주),00508344,210980,김도현,68122
미래에셋증권(주),00111722,006800,"김미섭, 허선호",66121
(주)에스엠벡셀,00147860,010580,"유병선, 최세환(각자대표)",303
삼정펄프(주),00128227,009770,전성오,171
케이에이치필룩스(주),00193009,033180,배보성,2629
주식회사 아센디오,00145437,012170,한승일,591
(주)강원랜드,00255619,035250,최철규,91249
(주)NICE홀딩스,00158316,034310,조대민,715
(주)아모레퍼시픽,00583424,090430,"서경배, 김승환",20423
롯데에너지머티리얼즈(주),00113997,020150,김연섭,2629
STX엔진(주),00480455,077970,이상수,29111
미원홀딩스(주),00706715,107590,"김정돈, 손응주",649
금호건설(주),00106313,002990,조완석,41112
대성산업(주),00828789,128820,"김영대,이은우(공동대표)",477
(주)체시스,00125576,033250,"이명곤, 김성광(각자대표이사)",303
현대제철(주),00145880,004020,서강현,2411
(주)까뮤이앤씨,00129420,013700,"손병재, 이은규 (각자 대표이사)",41121
미원화학(주),00855163,134380,"김정만, 김태호 (각자대표)",20421
롯데위탁관리부동산투자회사 주식회사,01363818,330590,롯데에이엠씨 주식회사,681
동부건설(주),00115612,005960,윤진오,412
한화손해보험(주),00135917,000370,나채범,65121
(주)삼원강재,00191588,023000,"장범석, 박민희(각자대표)",303
주식회사 삼양패키징,01060814,272550,김재홍,22232
에스케이오션플랜트(주),00480367,100090,이승철,2413
(주)삼영,00127255,003720,"이석준, 조영한",2221
KG스틸(주),00115676,016380,박성희,24122
(주)도화엔지니어링,00114552,002150,"박승우,곽준상,손영일,김덕구",72121
(주)NI스틸,00116301,008260,이창환,2419
디와이(주),00117179,013570,김진호,64992
문배철강(주),00121570,008420,이창환,2419
(주)WISCOM,00142865,024070,"구조웅, 구영일",22299
(주)SBS,00130772,034120,방문신,60210
(주)세아특수강,00133991,019440,이강현,24122
